uid	field	DE	ES (dry-run; kw auf 60 Z. gekappt)
33	keywords	Wartezimmer, alt, altbau, altes, haus, angemalt, angestrahlt, antik, antikes, architektonisch, architektur, attraktion, ausflug, ausflüge, ausgang, ausgeglichen, äusseres, baustile, bauwerke, beige, bejahrt, berühmtes, bewölkt, brunnen, building, bunt, dekoration, denkmal, denkmäler, deutsche, deutschland, draußen, einträchtig, erholung, erlebnis, europa, fassade, fassaden, fenster, ferien, garten, gärten, gebäude, gebaut, gelbe, gelblich, geordnet, gepflegt, geschichte, geschichtlich, gestrichen, goethe, gras, gräser, grashalme, grün, gruppe, hausansicht, hell, herrlichkeiten, historic, history, hoheitsvoll, idyllisch, klassik, königlich, konstruiert, konstruktionen, konzepte, konzeptuell, lawn, luxus, macht, mächte, mauerwerke, monuments, nostalgie, nostalgisch, palace, palast, panorama, panoramen, parks, perfektion, picturesque, platz, plätze, politik, rasenflächen, rasenplatz, rasenplätze, reich, reichtum, reisen, reiseziele, restauriert, retro, romatisch, saniert, sanierungen, schloss, schlösser, schöner, schönes, wetter, schönheit, schotter, schotterwege, sehenswürdigkeiten, sightseeing, sommer, sonnig, spazierengehen, spaziergang, spaziergänge, springbrunnen, stil, thüringen, tourismus, touristen, touristenattraktionen, touristisch, traditionen, traum, travel, travelling, trip, turm, türme, überfluss, uralte, verputzt, wandern, wanderungen, wege, weimar, welterbe, herrenhaus, königshaus, kulturgut	sala de espera, antiguo, edificio antiguo, casa antigua, pin
34	title	Hauptgebäude des Schlosses Belvedere bei Weimar	Edificio principal del Schloss Belvedere cerca de Weimar
34	keywords	Wartezimmer, alt, altbau, altes, haus, angemalt, angestrahlt, antik, antikes, architektonisch, architektur, attraktion, ausflug, ausflüge, ausgang, ausgeglichen, äusseres, baustile, bauwerke, beige, bejahrt, berühmtes, brunnen, building, bunt, dekoration, denkmal, denkmäler, deutsche, deutschland, draußen, einträchtig, erholung, erlebnis, europa, fassade, fassaden, fenster, ferien, garten, gärten, gebäude, gebaut, gelbe, gelblich, geordnet, gepflegt, geschichte, geschichtlich, gestrichen, goethe, gras, gräser, grashalme, grün, gruppe, hausansicht, hell, herrlichkeiten, historic, history, hoheitsvoll, idyllisch, klassik, königlich, konstruiert, konstruktionen, konzepte, konzeptuell, luxus, macht, mächte, mauerwerke, monuments, nostalgie, nostalgisch, palace, palast, panorama, panoramen, parks, perfektion, picturesque, platz, plätze, politik, reich, reichtum, reisen, reiseziele, restauriert, retro, romatisch, saniert, sanierungen, schloss, schlösser, schöner, schönes, wetter, schönheit, schotter, schotterwege, sehenswürdigkeiten, sightseeing, sommer, sonnig, spazierengehen, spaziergang, spaziergänge, springbrunnen, stil, thüringen, tourismus, touristen, touristenattraktionen, touristisch, traditionen, traum, travel, travelling, trip, turm, türme, überfluss, uralte, verputzt, wandern, wanderungen, wege, weimar, welterbe, herrenhaus, königshaus, kulturgut	sala de espera, antiguo, edificio antiguo, casa antigua, pin
35	title	Nebengebäude des Schlosses Belvedere bei Weimar	Edificio anexo del Schloss Belvedere cerca de Weimar
35	keywords	alt, altbau, altes, haus, angemalt, angestrahlt, antik, antikes, architektonisch, architektur, attraktion, ausflug, ausflüge, ausgang, ausgeglichen, äusseres, baustile, bauwerke, beige, bejahrt, berühmtes, bewölkt, blue, sky, brunnen, building, bunt, dekoration, denkmal, denkmäler, deutsche, deutschland, draußen, einträchtig, erholung, erlebnis, europa, fassade, fassaden, fenster, ferien, garten, gärten, gebäude, gebaut, gelbe, gelblich, geordnet, gepflegt, geschichte, geschichtlich, gestrichen, goethe, gras, gräser, grashalme, grün, gruppe, hausansicht, hell, herrlichkeiten, historic, history, hoheitsvoll, idyllisch, klassik, königlich, konstruiert, konstruktionen, konzepte, konzeptuell, lawn, luxus, macht, mächte, mauerwerke, monuments, nostalgie, nostalgisch, palace, palast, panorama, panoramen, parks, perfektion, picturesque, platz, plätze, politik, rasenflächen, rasenplatz, rasenplätze, reich, reichtum, reisen, reiseziele, restauriert, retro, romatisch, saniert, sanierungen, schloss, schlösser, schöner, schönes, wetter, schönheit, schotter, schotterwege, sehenswürdigkeiten, sightseeing, sommer, sonnenlicht, sonnenschein, sonnig, spazierengehen, spaziergang, spaziergänge, springbrunnen, stil, thüringen, tourismus, touristen, touristenattraktionen, touristisch, traditionen, traum, travel, travelling, trip, turm, türme, überfluss, uralte, verputzt, wandern, wanderungen, wege, weimar, welterbe, herrenhaus, königshaus, kulturgut	antiguo, edificio antiguo, casa antigua, pintado, iluminado,
36	title	Nebengebäude des Schlosses Belvedere bei Weimar	Edificio anexo del Schloss Belvedere cerca de Weimar
36	keywords	alt, altbau, altes, haus, angemalt, angestrahlt, antik, antikes, architektonisch, architektur, attraktion, ausflug, ausflüge, ausgang, ausgeglichen, äusseres, baustile, bauwerke, beige, bejahrt, berühmtes, bewölkt, blue, sky, brunnen, building, bunt, dekoration, denkmal, denkmäler, deutsche, deutschland, draußen, einträchtig, erholung, erlebnis, europa, fassade, fassaden, fenster, ferien, garten, gärten, gebäude, gebaut, gelbe, gelblich, geordnet, gepflegt, geschichte, geschichtlich, gestrichen, goethe, gras, gräser, grashalme, grün, gruppe, hausansicht, hell, herrlichkeiten, historic, history, hoheitsvoll, idyllisch, klassik, königlich, konstruiert, konstruktionen, konzepte, konzeptuell, lawn, luxus, macht, mächte, mauerwerke, monuments, nostalgie, nostalgisch, palace, palast, panorama, panoramen, parks, perfektion, picturesque, platz, plätze, politik, rasenflächen, rasenplatz, rasenplätze, reich, reichtum, reisen, reiseziele, restauriert, retro, romatisch, saniert, sanierungen, schloss, schlösser, schöner, schönes, wetter, schönheit, schotter, schotterwege, sehenswürdigkeiten, sightseeing, sommer, sonnenlicht, sonnenschein, sonnig, spazierengehen, spaziergang, spaziergänge, springbrunnen, stil, thüringen, tourismus, touristen, touristenattraktionen, touristisch, traditionen, traum, travel, travelling, trip, turm, türme, überfluss, uralte, verputzt, wandern, wanderungen, wege, weimar, welterbe, herrenhaus, königshaus, kulturgut	antiguo, edificio antiguo, casa antigua, pintado, iluminado,
37	title	Der Berliner Hauptbahnhof an der Spree	La Estación Central de Berlín en el Spree
37	keywords	Wartezimmer, ausflug, ausflüge, baustile, bauwerke, berlin, berühmtes, beton, bewölkt, binnenschifffahrt, building, capital, city, deutsche, deutschland, downtown, durchfahrt, erlebnis, europa, fremdenverkehr, fußgänger, fusswege, futuristisch, gebäude, gebaut, glas, glasfassaden, gleißchmäßig, grau, grünlich, hauptbahnhof, hauptstadt, hauptstädtisch, innenstadt, innenstädte, kulissen, neubau, norddeutschland, orientierung, orientierungspunkte, pedestrian, regierungen, regierungsviertel, reisen, reiseziele, schiffe, sehenswürdigkeiten, sightseeing, spree, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, tourismus, touristen, touristenattraktionen, touristisch, travel, travelling, trip, viertel, wahrzeichen, zentren, zentrum, baukräne, baukran, bausstelle, zelte, aussichtsboot, aussichtsschiff, öffentlich, brücke	sala de espera, excursión, excursiones, estilos arquitectóni
38	title	Die Spree am Hauptbahnhof in Berlin	El Spree en la Estación Central de Berlín
38	keywords	Wartezimmer, ausflug, ausflüge, baustile, bauwerke, berlin, berühmtes, beton, bewölkt, binnenschifffahrt, building, capital, city, deutsche, deutschland, downtown, durchfahrt, erlebnis, europa, fremdenverkehr, fußgänger, fusswege, futuristisch, gebäude, gebaut, glas, glasfassaden, gleißchmäßig, grau, grünlich, hauptbahnhof, hauptstadt, hauptstädtisch, innenstadt, innenstädte, kulissen, neubau, norddeutschland, orientierung, orientierungspunkte, pedestrian, regierungen, regierungsviertel, reisen, reiseziele, schiffe, sehenswürdigkeiten, sightseeing, spree, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, tourismus, touristen, touristenattraktionen, touristisch, travel, travelling, trip, viertel, wahrzeichen, zentren, zentrum, baukräne, baukran, bausstelle, zelte, aussichtsboot, aussichtsschiff, öffentlich, brücke	sala de espera, excursión, excursiones, estilos arquitectóni
39	title	Der Berliner Dom	
39	keywords	Wartezimmer, alleinstehend, alt, altbau, altes, architektonisch, architektur, attraktion, ausflug, ausflüge, baustile, bauwerke, bejahrt, berlin, berühmtes, bewölkt, building, capital, city, damals, deko, dekor, dekoration, denkmal, denkmäler, deutsche, deutschland, draußen, europa, fassade, fassaden, feuchtigkeit, figuren, gebäude, gebaut, geschichte, geschichtlich, gewölbe, glockenturm, glockentürme, gott, gras, gräser, hauptstadt, hauptstädtisch, herrlichkeiten, historic, history, hoheitsvoll, innenstadt, innenstädte, jesus, kirchen, kirchturm, kirchtürme, kirchturmuhren, kuppeln, luxus, macht, mächte, marmor, natursteine, nostalgie, nostalgisch, regenwolken, reisen, reiseziele, säulen, sehenswürdigkeiten, sidewalk, sightseeing, silhouetten, skyline, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, steinwand, steinwände, straßenrand, straßenränder, stuck, stuckateur, stuckatur, symbole, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, überfluss, vergangenheit, verregnet, verreisen, welterbe, kapitelle, herrschaftlich, kulturgut, dom, mosaik, baukran, fernsehturm, pflaster	sala de espera, solitario, antiguo, edificio antiguo, arquit
40	title	Detailansicht des Berliner Doms	Vista detallada de la Catedral de Berlín
40	keywords	Wartezimmer, alleinstehend, alt, altbau, altes, architektonisch, architektur, attraktion, ausflug, ausflüge, baustile, bauwerke, bejahrt, berlin, berühmtes, bewölkt, building, capital, city, damals, deko, dekor, dekoration, denkmal, denkmäler, deutsche, deutschland, draußen, europa, fassade, fassaden, feuchtigkeit, figuren, gebäude, gebaut, geschichte, geschichtlich, gewölbe, glockenturm, glockentürme, gott, gras, gräser, hauptstadt, hauptstädtisch, herrlichkeiten, historic, history, hoheitsvoll, innenstadt, innenstädte, jesus, kirchen, kirchturm, kirchtürme, kirchturmuhren, kuppeln, luxus, macht, mächte, marmor, natursteine, nostalgie, nostalgisch, regenwolken, reisen, reiseziele, säulen, sehenswürdigkeiten, sidewalk, sightseeing, silhouetten, skyline, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, steinwand, steinwände, straßenrand, straßenränder, stuck, stuckateur, stuckatur, symbole, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, überfluss, vergangenheit, verregnet, verreisen, welterbe, kapitelle, detailfoto, detailbild, ausschnitt, herrschaftlich, kulturgut, dom, mosaik, baukran, fernsehturm	sala de espera, soltero, antiguo, edificio antiguo, arquitec
41	title	Vorplatz des Berliner Doms	Plaza de la Catedral de Berlín
41	keywords	alleinstehend, alt, altbau, altes, architektonisch, architektur, attraktion, ausflug, ausflüge, baustile, bauwerke, bejahrt, berlin, berühmtes, bewölkt, building, capital, city, damals, deko, dekor, dekoration, denkmal, denkmäler, deutsche, deutschland, draußen, europa, fassade, fassaden, feuchtigkeit, figuren, gebäude, gebaut, geschichte, geschichtlich, gewölbe, glockenturm, glockentürme, gott, gras, gräser, hauptstadt, hauptstädtisch, herrlichkeiten, historic, history, hoheitsvoll, innenstadt, innenstädte, jesus, kirchen, kirchturm, kirchtürme, kirchturmuhren, kuppeln, luxus, macht, mächte, marmor, natursteine, nostalgie, nostalgisch, regenwolken, reisen, reiseziele, säulen, sehenswürdigkeiten, sidewalk, sightseeing, silhouetten, skyline, stadtansichten, stadtlandschaften, stadtzentren, stadtzentrum, statuen, steine, steinmauern, steinstrukturen, steinwand, steinwände, straßenrand, straßenränder, stuck, stuckateur, stuckatur, symbole, tourismus, touristen, touristenattraktionen, touristisch, town, traditionen, travel, travelling, überfluss, vergangenheit, verregnet, verreisen, welterbe, kapitelle, detailfoto, detailbild, ausschnitt, herrschaftlich, kulturgut, dom, mosaik, baukran, fernsehturm, pflaster	solitario, antiguo, edificio antiguo, viejo, arquitectónico,
42	title	Rote Wellblechwand	Pared de chapa ondulada roja
42	keywords	bauteil, close, up, colourful, gleißchmäßig, metalle, oberflächen, oberflächenstruktur, rot, stabil, struktuiert, texturen, wand, materialien, Wellbleche, Wellblechwand	componente, primer plano, colorido, uniforme, metales, super
43	title	Rote Wellblechwand klein	Pared de chapa ondulada roja pequeña
43	keywords	bauteil, close, up, colourful, gleißchmäßig, metalle, oberflächen, oberflächenstruktur, rot, stabil, struktuiert, texturen, wand, materialien, Wellbleche, Wellblechwand	pieza, primer plano, colorido, uniforme, metales, superficie
44	title	Blühende Krone eines Pflaumenbaumes	Corona floreciente de un ciruelo
44	keywords	Wartezimmer, ast, Makro, Macro, äste, baum, bäume, baumkronen, blühen, blüten, detail, details, durchsichtig, flora, floral, frühling, herrlichkeiten, hintergrund, idyllisch, jahreszeiten, jahreszeitlich, laub, laubbaum, laubbäume, laubwerk, leaf, natur, naturfotos, natürlich, organisch, outdoor, parks, pflanzen, romatisch, schöner, schönes, wetter, schönheit, silhouetten, sommer, sonnig, vegetation, verzweigt, warm, wärme, wildblumen, zweige, gehölz, frühlingsblüten, Pflaume, branches, tree, trees, crowns, flower, outside, fauna, spring, seasons, season, laubbume, nature, photos, plants, beauty, Group, flowers, Cherry, stretch, ceiling, Biene, Bienen, Kirschen, rosa, Baumkrone, Spanndecken, von, unten, Blütenzauber, bee, blossoms, pink, crown, from, below, blossom, magic	sala de espera, rama, macro, ramas, árbol, árboles, copa de 
45	title	Blühende Äste	Ramas florecientes
45	keywords	ast, branches, tree, macro, trees, crowns, flower, outside, fauna, flora, spring, seasons, season, laubbaum, laubbume, nature, photos, plants, beauty, vegetation, Group, flowers, Cherry, stretch, ceiling, Frühling, Biene, Bienen, Kirschen, Blüten, rosa, Baumkrone, Spanndecken, von, unten, Blütenzauber, bee, blossoms, pink, crown, from, below, blossom, magic	rama, ramas, árbol, macrofotografía, árboles, copas de árbol
46	title	Kirschblüten	Flores de cerezo
46	keywords	ast, branches, tree, macro, trees, crowns, flower, outside, fauna, flora, spring, seasons, season, laubbaum, laubbume, nature, photos, plants, beauty, vegetation, Group, flowers, Cherry, stretch, ceiling, Frühling, Biene, Bienen, Kirschen, Blüten, rosa, Baumkrone, Spanndecken, von, unten, Blütenzauber, bee, blossoms, pink, crown, from, below, blossom, magic	rama, ramas, árbol, macro, árboles, copa de árbol, flor, ext
47	title	Blühender Baum	Árbol floreciente
47	keywords	ast, branches, tree, macro, trees, crowns, flower, outside, fauna, flora, spring, seasons, season, laubbaum, laubbume, nature, photos, plants, beauty, vegetation, Group, flowers, Cherry, stretch, ceiling, Frühling, Biene, Bienen, Kirschen, Blüten, rosa, Baumkrone, Spanndecken, von, unten, Blütenzauber, bee, blossoms, pink, crown, from, below, blossom, magic	rama, ramas, árbol, macro, árboles, copa de árbol, flor, ext
48	title	Blühender Kirschbaum	Cerezo floreciente
48	keywords	ast, branches, tree, macro, trees, crowns, flower, outside, fauna, flora, spring, seasons, season, laubbaum, laubbume, nature, photos, plants, beauty, vegetation, Group, flowers, Cherry, stretch, ceiling, Frühling, Biene, Bienen, Kirschen, Blüten, rosa, Baumkrone, Spanndecken, von, unten, Blütenzauber, bee, blossoms, pink, crown, from, below, blossom, magic	rama, ramas, árbol, macro, árboles, copa de árbol, flor, ext
49	title	Blütenbedeckter Ast	Rama cubierta de flores
49	keywords	ast, branches, tree, macro, trees, crowns, flower, outside, fauna, flora, spring, seasons, season, laubbaum, laubbume, nature, photos, plants, beauty, vegetation, Group, flowers, Cherry, stretch, ceiling, Frühling, Biene, Bienen, Kirschen, Blüten, rosa, Baumkrone, Spanndecken, von, unten, Blütenzauber, bee, blossoms, pink, crown, from, below, blossom, magic	rama, ramas, árbol, macro, árboles, copa de árbol, flor, ext
50	title	Kirschblüten vor blaumen Himmel	Flores de cerezo contra cielo azul
50	keywords	ast, branches, tree, macro, trees, crowns, flower, outside, fauna, flora, spring, seasons, season, laubbaum, laubbume, nature, photos, plants, beauty, vegetation, Group, flowers, Cherry, stretch, ceiling, Frühling, Biene, Bienen, Kirschen, Blüten, rosa, Baumkrone, Spanndecken, von, unten, Blütenzauber, bee, blossoms, pink, crown, from, below, blossom, magic	rama, ramas, árbol, macrofotografía, árboles, copa de árbol,
51	title	Blütenmeer im Frühling	Mar de flores en primavera
51	keywords	ast, branches, tree, macro, trees, crowns, flower, outside, fauna, flora, spring, seasons, season, laubbaum, laubbume, nature, photos, plants, beauty, vegetation, Group, flowers, Cherry, stretch, ceiling, Frühling, Biene, Bienen, Kirschen, Blüten, rosa, Baumkrone, Spanndecken, von, unten, Blütenzauber, bee, blossoms, pink, crown, from, below, blossom, magic	rama, ramas, árbol, macro, árboles, copa de árbol, flor, ext
